unit_number,time_stamp,status,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21
unit_1,1/4/2018 12:00,0,25.0051,0.6208,Low,462.54,536.75,1263.3,1040.66,7.05,9.01,175.84,1915.39,8006.68,0.94,36.37,164.53,2028.26,7870.44,10.8221,0.02,306,1915,84.93,14.47,8.5278
unit_3,2/1/2017 12:00,0,,0.0005,High,518.67,641.7,1585.08,,14.62,21.57,557.31,,9066.6,1.3,47.52,,2388.11,8154.36,8.3383,0.03,392,2388,100,,23.5354
unit_8,8/3/2016 12:00,0,41.9981,0.84,High,445,548.94,1349.32,1127.14,3.91,5.7,138.34,2212.05,8322.31,1.02,41.85,131.05,2388.12,8092.58,9.2796,0.02,331,2212,100,10.61,6.4492
unit_7,9/11/2014 12:00,0,-0.0014,0,High,518.67,641.58,1577.69,1398.32,14.62,21.59,553.7,2388.02,9050.03,1.3,47.19,522.03,2387.99,8137.93,8.3978,0.03,390,2388,100,39.09,23.4505
unit_9,9/17/2017 12:00,0,0.0009,0,High,518.67,,1605.12,1425.77,14.62,21.56,567.2,2388.46,9112.08,1.31,48,533.96,2388.47,,8.2345,0.03,396,2388,100,39.53,23.6807
unit_10,7/10/2017 12:00,0,10.0047,0.25,High,489.05,604.1,1500.86,,201.52,15.47,394.37,2318.77,,1.26,45.06,371.18,2387.99,8132.16,8.5993,0.03,,2319,100,28.75,17.1985
unit_2,7/9/2015 12:00,0,0.0016,-0.0001,,518.67,642.23,1579.58,1405.93,14.62,21.57,550.4,2387.36,9037.52,1.3,47.23,518.71,2387.33,8125.55,8.4435,0.03,391,2388,100,,23.3104
unit_7,8/10/2014 12:00,0,0.0002,-0.0001,High,518.67,642.14,,1388.68,,21.59,554.21,2387.96,9061.15,1.3,47.15,521.8,,8136.43,8.3471,0.03,391,2388,100,39.07,23.4353
unit_6,9/6/2016 12:00,0,0.0002,0.0004,High,518.67,642.99,,1414.02,14.62,21.49,559.02,2388.17,9085.61,1.3,47.61,,2388.16,8159.8,8.2906,0.03,393,2388,100,39.12,23.5566
unit_8,11/5/2016 12:00,0,35.0066,0.8404,High,449.44,555.8,1372.91,1132.88,5.48,7.98,197.23,2223.32,8377.14,1.04,42.02,185.67,2388.41,8088.86,9.1753,0.02,334,2223,100,14.85,9.1447
unit_1,6/6/2017 12:00,0,20.0008,0.7016,High,491.19,607.05,1476.95,1244.73,9.35,13.64,335.27,2323.9,8720.91,1.08,44.27,315.71,2388.08,8065.41,9.1651,0.02,364,2324,100,24.52,14.8367
unit_6,4/13/2016 12:00,0,0.001,0.0004,High,518.67,641.29,1580.52,1393.93,14.62,21.55,,2387.91,9039.54,1.3,47.03,519.59,2387.91,8133.81,8.3926,0.03,391,2388,100,39.08,23.4542
unit_2,9/4/2016 12:00,0,-0.001,-0.0002,High,518.67,643.07,1603.22,1424.63,14.62,21.57,568.09,2388.51,9123.87,1.31,,535.72,2388.53,8188.62,8.2541,0.03,395,2388,100,39.54,23.771
unit_5,5/1/2014 12:00,0,0.0003,0.0015,High,518.67,642.1,1585.61,1396.19,14.62,21.58,551.04,2387.57,9036.17,1.3,47.17,518.78,2387.56,8120.53,8.4214,0.03,390,2388,100,38.87,23.2567
unit_6,8/14/2016 12:00,0,-0.0038,-0.0001,High,518.67,642.48,1585.08,1411.99,14.62,21.5,557.06,2388.09,9080.86,1.3,47.26,523.96,2388.08,8151.54,8.3272,0.03,392,2388,100,39.16,23.5299
unit_5,5/26/2014 12:00,0,10.0007,0.25,High,489.05,604.1,1494.81,1293.9,10.52,15.46,392.92,2318.64,8764.07,1.25,44.83,369.81,2387.83,8116.61,8.6527,0.03,368,2319,100,28.53,17.1206
unit_10,2/14/2018 12:00,0,20.0018,0.7006,High,491.19,607.4,1480.94,1247.04,9.35,13.62,335.97,2324,8729.39,1.08,44.16,315.97,2388.12,8074.7,9.125,0.02,367,2324,100,,14.7379
unit_1,4/4/2018 12:00,0,35.0053,0.84,High,449.44,555.31,1361.07,1118.23,5.48,7.98,,2223.09,8355.55,1.03,41.84,184.23,2388.26,8072.49,9.2608,0.02,334,2223,100,14.87,8.9893
unit_7,5/24/2015 12:00,0,-0.0005,-0.0001,High,518.67,642.73,1585.78,1397.26,14.62,21.58,556.19,2388.03,9061.25,1.3,47.39,523.89,2388.02,8145.11,8.3571,0.03,392,2388,100,39.23,23.4257
unit_7,11/5/2014 12:00,0,0.002,0.0003,,518.67,642.28,1580.98,,202.52,21.59,553.98,2387.97,9041.46,1.3,47.24,521.62,2387.99,8135.61,8.407,0.03,391,2388,100,39.01,23.4917
unit_4,1/6/2017 12:00,0,0.0052,0.0004,High,518.67,642.99,1592.5,1419.61,14.62,21.57,564.92,2388.32,,1.31,47.86,532.47,2388.37,8178.99,8.242,0.03,397,2388,100,39.57,23.6809
unit_2,5/8/2015 12:00,0,,0.0004,High,518.67,642.26,1583.06,1403.07,14.62,21.57,550.41,2387.74,9036.48,1.3,46.96,518.86,2387.79,8124.38,8.4343,0.03,390,2388,100,38.72,23.3684
unit_9,1/4/2017 12:00,0,0.0009,0.0002,,518.67,641.81,,1394.77,14.62,21.57,552.49,2387.97,9050.72,1.3,47.04,520.6,2387.97,8130.45,8.4175,0.03,392,2388,100,38.82,23.3448
unit_1,10/21/2018 12:00,0,35.0035,0.84,High,449.44,556.09,1377.6,1143.91,5.48,7.97,199.35,2223.8,8405.69,1.05,42.68,188.57,2388.87,8118.05,9.0881,0.02,338,2223,100,15.15,9.0975
unit_4,7/3/2016 12:00,0,0.0011,0.0005,High,518.67,642.43,1581.62,1393.95,14.62,21.58,555.6,2387.95,9052.95,1.3,46.96,523.71,2387.97,8136.98,8.3971,0.03,392,2388,,39.19,23.4788
unit_9,8/30/2017 12:00,0,0.0018,-0.0002,High,518.67,642.2,1597.02,1419.04,14.62,21.56,,2388.33,9102.74,1.31,47.85,531.31,2388.34,8176.87,,0.03,395,2388,100,39.54,23.6048
unit_8,10/29/2016 12:00,0,25.0079,0.62,Low,462.54,536.76,1265.33,1049.74,,9.01,177.27,1915.47,8030.21,0.94,36.66,166.44,,7880.62,10.7374,0.02,306,1915,84.93,14.56,8.5599
unit_3,4/27/2016 12:00,0,0.0002,,High,518.67,642.15,1572.36,1397.5,14.62,21.58,550.72,2387.46,9040.09,1.3,47.22,518.73,2387.5,8118.5,8.3982,0.03,390,2388,100,38.6,23.2661
unit_3,1/5/2017 12:00,0,-0.0022,-0.0001,High,518.67,642.24,1580.07,1399.24,14.62,21.57,556.26,2388.09,9064.63,1.3,47.33,523.91,2387.99,8150.39,8.3319,0.03,393,2388,100,39.16,23.433
unit_3,11/9/2016 12:00,0,0.0012,0.0002,High,,641.33,1580.34,1388.79,14.62,21.57,553.67,2387.97,9046.92,1.3,47.27,521.65,2387.93,8135.92,8.4304,0.03,390,2388,100,38.89,23.4422
unit_1,12/19/2017 12:00,0,42.0003,0.8417,High,445,549.36,1346.24,1112.45,3.91,5.7,138.52,2212,8323.09,1.02,41.97,130.99,2388.09,8084.15,9.3272,0.02,328,2212,100,10.67,
unit_2,12/24/2015 12:00,0,-0.0029,-0.0002,High,518.67,,1584.07,1393.2,14.62,21.57,552.91,2387.94,9048.93,1.3,47.2,521.86,2387.97,8135.39,8.3676,0.03,391,2388,100,39.17,23.3086
unit_9,6/5/2017 12:00,0,0.0012,-0.0003,High,518.67,642.15,1585.19,1405.81,14.62,21.56,556.8,2388.05,9056.73,1.3,47.28,524.2,2388.08,8146.21,8.3268,0.03,392,2388,100,39.09,23.5072
unit_5,2/1/2015 12:00,0,34.9982,0.8415,High,449.44,555.37,1356.14,1121.02,5.48,7.97,,2222.98,8343.82,1.02,41.45,183,2388,8064.53,9.2735,0.02,331,2223,100,14.86,8.9216
unit_2,9/5/2015 12:00,0,0.0022,0.0003,,518.67,641.88,1581.31,1394.19,14.62,21.57,551.53,2387.91,9050.57,1.3,47.01,520.87,2387.95,8131.03,8.3976,0.03,390,2388,100,39,23.3295
unit_3,1/22/2017 12:00,0,0.0015,0.0004,High,518.67,641.75,1591,,203.52,21.57,556.14,2388.06,9069.33,1.3,47.18,524.85,2388.08,8147.38,8.3393,0.03,390,2388,100,39.18,23.5319
unit_7,10/22/2015 12:00,0,-0.0024,0.0001,High,518.67,642.82,1597.76,,202.52,21.57,565.85,2388.46,9117.68,1.31,47.98,534.3,2388.37,8182.92,8.267,,396,2388,100,39.55,23.7423
unit_6,4/28/2016 12:00,0,0.0018,,High,518.67,642.46,1581.62,1397.3,14.62,21.54,552.68,2387.92,9047.97,1.3,,520.47,2387.92,8129.74,8.3732,0.03,391,2388,,,23.3211
unit_1,10/10/2017 12:00,0,25.0065,,Low,462.54,536.47,1251.38,1040.62,7.05,9.02,175.57,1915.39,8010.06,0.94,36.57,165.17,2028.31,7880.84,10.8611,0.02,305,,84.93,14.36,8.6899
unit_4,1/31/2017 12:00,0,-0.0018,-0.0004,High,518.67,642.51,1601.88,1424.22,14.62,21.57,567.65,2388.52,9119.42,1.31,48.08,534.96,2388.53,8190.84,8.2381,0.03,395,2388,100,39.75,23.7591
unit_6,12/15/2015 12:00,0,0.0022,-0.0003,High,518.67,641.68,1584.11,1399.82,,21.57,552.5,2387.96,9048.47,1.3,46.93,,2387.89,8131.69,8.4193,0.03,390,2388,100,38.99,23.4516
unit_9,5/6/2017 12:00,0,0.0032,-0.0004,High,518.67,642.18,1584.73,1402.73,14.62,21.56,555.31,2388.02,9054.17,1.3,47.36,523.26,2387.98,8136.44,8.3668,0.03,391,2388,100,39.05,23.3888
unit_3,10/1/2016 12:00,0,-0.0011,0.0002,High,,641.68,1588.68,1391.22,14.62,21.57,553.12,2387.97,9050.19,1.3,47.09,521.65,2387.96,8137.56,8.4084,0.03,393,2388,100,38.94,23.4035
unit_10,4/1/2018 12:00,0,35.004,0.84,High,449.44,555.25,1359.05,1131.54,5.48,7.97,195.88,2223.15,8368.3,,,183.99,2388.21,8078.29,,0.02,333,2223,100,15.15,9.0316
unit_1,7/28/2018 12:00,0,35.0058,0.8407,High,449.44,555.63,1371.04,1134.16,5.48,7.98,197.5,2223.32,,1.03,41.9,185.41,2388.42,8089.33,9.2186,0.02,334,2223,100,15,9.0221
unit_6,12/23/2015 12:00,0,-0.0003,0.0001,High,518.67,641.73,1576.97,,200.52,21.57,549.81,2387.28,9035.87,1.3,47.19,518.49,2387.29,8121.72,8.4321,0.03,389,2388,100,38.64,23.2282
unit_3,4/15/2016 12:00,0,0.0017,0.0004,High,518.67,641.7,1574.47,1393.37,14.62,21.58,550.78,2387.45,9032.31,1.3,47.34,,2387.54,8116.34,8.4364,0.03,391,2388,100,38.83,23.1982
unit_8,9/27/2016 12:00,0,10.0041,0.25,High,,605.14,1497.44,1304.17,10.52,15.47,397.74,2319.02,8796.04,1.26,45.27,374.41,2388.19,8149.74,8.5434,0.03,370,2319,100,28.91,17.221
unit_9,9/4/2017 12:00,0,-0.0038,0,High,518.67,642.59,1603.18,1425.21,14.62,21.56,565.91,2388.42,9104.09,1.31,47.98,532.99,2388.39,8175.93,8.2282,0.03,396,2388,100,39.53,23.7393
unit_6,8/23/2015 12:00,0,0.0024,0.0004,High,,641.98,1578.72,1396.57,14.62,21.58,,2387.37,,1.3,47.3,519.46,2387.36,8119.46,8.451,0.03,393,2388,100,38.84,23.2544
unit_9,8/21/2016 12:00,0,,0.0004,High,518.67,641.81,1577.96,1397.61,14.62,21.56,551.22,2387.68,9039.57,1.3,47.3,518.32,2387.72,8122.71,8.4589,0.03,391,2388,100,38.92,23.2553
unit_3,11/6/2016 12:00,0,0.0018,-0.0005,High,518.67,642.09,1585.6,1389.89,14.62,21.57,553.67,2387.93,9046.38,1.3,,521.34,2388,8136.09,8.3987,0.03,391,2388,100,39.03,23.3792
unit_4,6/6/2016 12:00,0,0.0001,0.0002,High,518.67,641.96,1584.18,,14.62,21.58,555.67,2388.02,9051.92,1.3,47.1,523.39,2387.99,8138.89,8.3452,0.03,392,2388,100,38.96,23.413
unit_2,6/19/2016 12:00,0,-0.0014,0.0004,High,518.67,642.54,1594.87,1409.03,14.62,21.57,559.02,,9074.46,1.31,47.56,526.29,2388.15,8156.96,8.3085,0.03,393,2388,100,39.2,23.6083
unit_6,8/11/2016 12:00,0,0.0028,0.0001,,518.67,642.64,1583.75,1407.67,14.62,21.5,556.52,2388,9064.92,1.3,47.45,523.39,2388.01,8149.71,8.3147,0.03,391,2388,,39.14,23.44
unit_9,7/21/2016 12:00,0,0.0037,-0.0004,High,518.67,641.86,1579.06,1389.72,14.62,21.57,,2387.89,9042.06,1.3,46.87,520.53,2387.93,,8.374,0.03,392,2388,100,38.91,23.438
unit_3,6/18/2016 12:00,0,-0.0033,-0.0004,High,518.67,642.12,1579.87,1392.72,14.62,,551.45,2387.95,9041.39,1.3,47.04,520.14,2387.94,8128.53,8.3757,0.03,391,2388,100,39.02,23.5055
unit_5,7/26/2014 12:00,0,19.9993,0.7015,High,491.19,606.87,1473.92,1229.35,9.35,13.6,332.79,2323.72,8710.35,1.07,44.01,313.11,2387.81,8053.56,9.2014,0.02,361,2324,100,24.39,14.6086
unit_9,6/19/2017 12:00,0,-0.0017,-0.0005,High,518.67,,1596.58,1407,14.62,21.56,556.38,2388.07,9063.79,1.3,47.24,525,2388.01,8154.33,8.3476,0.03,392,2388,100,39.13,
unit_2,9/15/2015 12:00,0,-0.0012,-0.0003,High,518.67,642.36,1581.2,,204.52,21.57,552.06,2387.89,,1.3,46.92,520.11,2387.91,8128.98,8.4035,0.03,391,2388,100,39.04,23.4139
unit_9,7/7/2016 12:00,0,-0.0033,0,High,518.67,641.85,1585.43,1396.27,14.62,21.57,552.52,2387.91,9048.76,1.3,46.95,520.7,2387.91,8133.65,8.4012,0.03,388,2388,100,39.01,23.5161
unit_6,8/27/2015 12:00,0,0.0013,0.0003,High,,641.84,,1388.94,14.62,21.58,552.65,2387.92,9045.65,1.3,,520.89,2387.92,8127.16,8.4352,0.03,390,2388,100,39.03,23.4296
unit_6,9/28/2016 12:00,0,-0.0009,0.0005,High,,643.64,1591.82,1413.22,14.62,21.47,559.85,2388.3,9100.62,1.31,47.88,527.94,2388.24,8174.68,8.2353,0.03,395,2388,100,39.06,23.545
unit_3,1/18/2017 12:00,0,-0.0006,-0.0001,High,518.67,642.34,1583.45,1397.94,14.62,21.57,557.41,2388.05,,1.3,47.44,524.63,2388.08,8142.7,8.3645,0.03,393,2388,100,39.07,23.4406
unit_1,4/23/2018 12:00,0,20.0041,0.7,High,491.19,607.26,1479.33,,9.35,13.62,337.3,2323.94,8739.17,1.08,44.13,316.66,2388.12,8069.25,9.1775,0.02,364,2324,100,24.69,14.8587
unit_2,4/30/2015 12:00,0,-0.0049,-0.0004,High,518.67,641.95,1585.93,1397.83,14.62,21.57,551.36,2387.57,9029.36,1.3,47.16,519.14,2387.49,8122.86,8.4308,0.03,390,2388,100,38.52,23.2921
unit_10,2/18/2018 12:00,0,10.0017,0.2509,High,489.05,604.42,1499.38,,10.52,15.46,397.29,2318.99,8790.34,1.26,45.08,373.85,2388.14,8138.16,8.5666,0.03,368,2319,100,28.55,17.3478
unit_1,8/6/2017 12:00,0,42.0028,0.84,High,445,548.35,1350.95,1118.69,3.91,5.71,139.01,2211.97,8319.88,,41.71,130.01,2388.06,,9.2941,0.02,330,2212,100,10.66,6.2953
unit_1,5/16/2018 12:00,0,25.0047,0.62,Low,462.54,536.66,1256.64,1042.89,7.05,9.01,175.98,1915.44,8014.76,0.94,36.56,,2028.36,7879.14,10.8399,0.02,306,1915,84.93,14.49,8.692
unit_4,1/2/2017 12:00,0,0.0009,-0.0003,High,518.67,643.17,1593.76,1420.54,14.62,21.58,,2388.32,9111.29,1.31,47.71,531.88,2388.37,8178.37,8.2625,0.03,394,2388,100,39.44,23.6664
unit_4,5/21/2016 12:00,0,-0.003,-0.0001,High,518.67,642.09,1594.14,1390.94,14.62,21.58,554.93,2388.01,9059.4,1.3,47.2,523.26,2388.05,8138.57,8.4092,0.03,392,2388,100,39.16,23.3945
unit_3,1/16/2017 12:00,0,0.0023,0.0004,High,518.67,643.02,1585.58,1399.01,14.62,21.56,555.46,2388.05,9064.58,1.3,47.21,524.25,2388.01,8144.8,8.3373,0.03,392,,100,39.24,23.5445
unit_2,5/18/2015 12:00,0,-0.0027,0.0004,High,518.67,642.52,1578.11,1401.94,14.62,21.57,551.28,2387.35,9031.94,1.3,47.23,518.89,2387.29,8121.98,8.4481,0.03,389,2388,100,38.9,23.2744
unit_9,9/3/2017 12:00,0,-0.0051,0.0004,High,518.67,643,1595.38,1417.47,,,564.59,2388.37,,1.31,48,531.66,2388.42,8177.81,8.2575,0.03,,2388,100,39.43,23.7119
unit_2,4/2/2015 12:00,0,0.0003,0.0005,High,518.67,642.31,,1400.13,14.62,21.57,550.9,2387.28,9032.56,1.3,47.24,519.13,2387.23,8120.51,8.4486,0.03,391,2388,100,38.83,23.3465
unit_5,11/13/2014 12:00,0,41.9989,0.8409,High,445,549.08,,,205.52,5.69,138.03,2211.96,8303.26,1.02,41.77,130.22,2387.98,8073.58,9.3448,0.02,330,2212,100,10.47,6.3626
unit_2,9/11/2015 12:00,0,,-0.0001,High,518.67,641.97,1573.13,1395.43,,21.57,552.65,2387.88,,1.3,47.18,520.23,2387.93,8129.7,8.399,,391,2388,100,38.81,23.3183
unit_5,10/22/2014 12:00,0,9.9998,0.25,High,489.05,604.27,1492.78,1293.17,10.52,15.46,393.68,2318.66,8769.57,1.26,45.14,370.54,2387.88,8132.23,8.6362,0.03,367,2319,100,28.31,17.2006
unit_6,2/29/2016 12:00,0,-0.0007,0.0003,High,518.67,642.05,1581.59,1398.76,14.62,21.56,552.12,2387.91,9043.23,1.3,46.97,519.72,2387.92,,8.3993,0.03,390,2388,100,38.82,23.3261
unit_6,10/12/2015 12:00,0,-0.0039,,High,518.67,,1585.91,1390.52,14.62,21.58,552.93,,9048.02,1.3,47.22,520.94,2387.93,8128.25,8.3425,0.03,390,2388,100,39.15,23.4046
unit_6,6/18/2016 12:00,0,0.0023,0.0004,High,518.67,642.83,1577.6,1398.09,14.62,21.53,554.06,2387.93,9059.98,1.3,47.18,521.74,2387.94,8137.62,8.3387,0.03,392,2388,100,38.9,23.4412
unit_1,7/19/2018 12:00,0,42.0048,0.8405,High,445,,1357.66,1121.58,3.91,5.7,140.52,2212.17,8341.32,1.03,42.17,132.45,2388.32,8110.55,9.2265,0.02,330,2212,100,10.75,
unit_7,2/19/2015 12:00,0,-0.0029,-0.0005,,518.67,642.08,1576.07,1395.14,14.62,21.59,554.68,2387.96,9055.73,1.3,47.24,523.03,2388.01,8142.22,8.3739,0.03,391,2388,100,,23.473
unit_1,7/15/2017 12:00,0,,0.25,High,489.05,604.81,1503.16,1301.38,10.52,15.48,395.53,2318.83,8776.9,1.26,45.05,373.09,2388.1,8131.45,8.648,0.03,366,2319,100,28.91,17.2383
unit_10,1/13/2018 12:00,0,0.0009,0.0004,High,518.67,642.19,1583.88,1404.09,14.62,21.58,556.35,2388.06,9059.35,1.3,47.3,523.78,2388.04,8145.24,8.3397,0.03,392,2388,100,39.08,23.4027
unit_8,1/14/2016 12:00,0,35.0079,0.84,High,449.44,555.42,1363.72,1116.7,5.48,7.99,193.89,2222.91,8340.1,1.02,41.78,182.87,2387.91,8059.04,9.2907,0.02,331,2223,100,14.92,9.0269
unit_9,5/14/2017 12:00,0,-0.0006,-0.0003,High,518.67,642.19,1590.93,1400.84,14.62,21.56,555.29,2388,9054.67,1.3,47.23,523.19,2388.06,8143.23,8.3396,0.03,,2388,100,39.05,23.5274
unit_6,4/4/2016 12:00,0,0.0004,0.0001,High,518.67,642.02,1584.73,1400.16,14.62,21.55,552.63,2387.93,9053.59,1.3,47.06,520.82,2387.95,,8.3534,0.03,391,2388,100,38.78,23.3612
unit_4,10/10/2015 12:00,0,0.0001,-0.0003,High,518.67,642.41,1574.85,1391.67,14.62,,555.28,2387.99,9057.55,1.3,47.25,522.54,2388.05,8139.38,8.3809,0.03,391,2388,100,38.93,23.4087
unit_7,5/17/2015 12:00,0,-0.0021,0.0003,High,518.67,642.52,1584.58,1403.71,14.62,21.58,,2388.04,9059.5,1.3,47.14,523.64,2388.05,8141.73,8.356,0.03,392,2388,100,39.34,23.4423
unit_2,5/11/2016 12:00,0,0.0024,,High,518.67,642.38,1583.56,1398.8,,21.57,,2388.04,9073.47,1.3,47.54,524.72,2388.01,8148.62,8.3348,0.03,393,2388,,,23.579
unit_8,1/12/2016 12:00,0,0.002,,High,518.67,641.85,1581.22,1397.11,14.62,21.6,553.26,2387.93,9042.73,1.3,46.88,521.86,2387.93,8138.48,8.3783,0.03,392,2388,100,,23.5745
unit_9,3/29/2017 12:00,0,0.0007,0,High,518.67,642.16,1582.43,1395.13,14.62,21.57,553.98,2387.98,9059.93,1.3,47.19,522.08,2387.96,8132.85,8.3832,0.03,391,2388,100,,23.3177
unit_3,2/23/2017 12:00,0,-0.0013,0.0001,High,518.67,642.45,1588.41,1397.88,14.62,21.56,559.52,2388.1,9075.62,1.31,47.54,526.75,2388.15,8154.75,8.3089,0.03,393,2388,100,39.08,23.4985
unit_5,11/25/2014 12:00,0,42.0006,0.84,High,445,549.59,1356.33,1113.13,3.91,5.69,,2211.92,8308.81,1.02,41.67,129.48,2388.04,8076.03,9.3529,0.02,329,2212,100,10.52,6.3024
unit_6,10/7/2016 12:00,0,0.0029,0.0005,,518.67,643.19,,1416.8,14.62,21.46,561.41,2388.33,9098.75,1.31,47.98,529.67,2388.35,8175.82,8.2578,0.03,394,2388,100,39.29,23.5865
unit_9,7/9/2016 12:00,0,,0,High,518.67,641.74,,1392.31,14.62,21.58,553.28,2387.95,9041.47,,47.1,520.94,2387.91,8131.63,8.3911,0.03,388,2388,100,38.89,23.3503
unit_5,4/21/2015 12:00,0,35.0009,0.84,High,449.44,555.06,,1122.6,5.48,,195.47,2223.12,8353.42,1.03,41.84,183.86,2388.27,8075.66,9.2372,0.02,334,2223,100,15.03,8.9541
unit_4,1/28/2017 12:00,0,-0.0043,0.0001,High,518.67,643.42,1605.17,1419.68,14.62,21.58,,2388.45,,1.31,48.26,535.42,2388.49,8189.37,8.2437,0.03,396,2388,100,39.64,23.7383
unit_6,10/17/2015 12:00,0,0.0007,-0.0002,High,518.67,641.86,1576.27,1389.12,14.62,21.58,553.16,2387.92,9044.16,1.3,47.14,520.48,2387.92,8128.2,8.3899,0.03,389,2388,100,38.98,23.4741
unit_10,3/29/2018 12:00,0,24.9992,0.62,Low,462.54,537.19,1261.01,1039.89,7.05,9,176.94,1915.54,8026.78,0.94,36.67,165.89,2028.45,7878.84,10.7933,0.02,308,1915,84.93,14.25,
unit_5,6/3/2015 12:00,0,42.0052,0.84,High,445,549.21,1355.35,1128.24,3.91,5.69,141.38,2212.21,8343.8,1.03,42.12,132.27,2388.32,8109.59,9.2303,0.02,331,2212,100,10.8,6.5125
unit_5,8/7/2014 12:00,0,,0.25,High,489.05,604.28,1491.42,,10.52,15.46,394.29,2318.63,8764.39,1.26,44.95,370.07,,8128.36,,0.03,367,2319,100,28.54,17.0736
unit_9,11/12/2016 12:00,0,-0.0005,-0.0004,High,,642.48,1575.85,1389.51,14.62,21.57,552.29,2387.88,9050.72,1.3,47,520.35,2387.94,8126.27,8.3995,0.03,389,2388,100,38.96,23.2718
unit_9,9/16/2016 12:00,0,-0.0034,0.0003,High,518.67,642.15,1582.89,1390.87,14.62,21.57,552.56,2387.91,9047.83,1.3,46.87,520.42,2387.93,8129.28,8.4014,0.03,392,2388,100,38.96,23.3307
unit_10,9/14/2017 12:00,0,9.9996,0.25,,489.05,604.35,1499.19,1296.32,10.52,15.46,395.14,2318.77,8780.07,1.26,45.18,371.48,2388.01,8131.84,8.5937,0.03,367,2319,100,,17.2069
unit_2,2/17/2016 12:00,0,-0.0008,-0.0003,High,518.67,641.79,1587.09,1392.7,14.62,21.57,554.95,2387.99,9049.05,1.3,47.23,521.96,,8136.09,8.3821,0.03,391,2388,100,38.96,23.4386
unit_3,9/6/2016 12:00,0,-0.001,-0.0004,High,518.67,642.33,1584.27,1392.06,14.62,21.58,553.48,2387.94,9049.87,1.3,47.18,520.77,,8132.99,8.3981,0.03,390,2388,100,38.94,23.4495
unit_9,3/24/2017 12:00,0,0.0048,0.0001,High,518.67,642.07,,1406.64,14.62,21.57,554.89,2387.96,9055.14,1.3,47.2,521.91,2387.97,8140.89,8.3547,0.03,390,2388,100,38.97,23.4477
